day,market-price,hash-rate,fees-usd-per-transaction
708,607.18,2002575.35061917,0.197418354055074
709,614.46,2056197.68456892,0.231668393264919
710,635.16,1644958.14765514,0.230175522257712
711,638.97,1606404.44106947,0.220033553955307
712,628.89,2107602.62668314,0.236786355016063
713,643.93,1752432.967869,0.212698756824028
714,685.91,1878507.28210418,0.203950504331784
715,726.6,1676788.3793279,0.199400067257739
716,703.48,1949214.67726041,0.22162128889091
717,721.5,2126416.01155681,0.302436598389749
718,700.38,2177044.96421293,0.266597540072258
719,736.84,2073243.13718006,0.293632741533922
720,736.97,1877125.54312249,0.282053421023416
721,737.07,2157293.53463331,0.268415679677247
722,730.02,1989192.73972682,0.257167657970351
723,762.97,2109770.13119712,0.271414522768642
724,766.48,2238066.96349964,0.287930631254743
725,768.19,2223811.75991047,0.324458965781085
726,775.88,2050571.62855749,0.333735585671981
727,791.03,2127660.78752582,0.398842614183425
728,913.93,2112242.95573216,0.327445308507098
729,930.34,2589949.6705277,0.3076502761644
730,964.84,2463610.66220928,0.282480723299076
731,1109.16,2210932.64557243,0.331487472539032
732,910.49,2147763.14141322,0.42511905248726
733,805.52,2528855.36111398,0.396573968339643
734,830.56,2646087.06659608,0.442557099418864
735,895.64,3031276.95603728,0.496585265659228
736,883.59,2930146.45884887,0.536196397407789
737,918.62,3262229.72418507,0.430482096722623
738,983.42,3066886.62692848,0.614010959674827
739,1011.08,2623276.58868094,0.596831778455123
740,985.34,3105959.48099823,0.777922933772208
741,1001.2,3546669.94789663,0.832348550603316
742,1054.55,3330515.74407375,1.0755456038632
743,1125,3045669.00280428,0.941788759330839
744,1150.37,3900209.22661268,1.03888390891313
745,1224.98,3440072.18302354,0.986049952385233
746,1271.04,3252505.60193699,0.903272168737338
747,1192.09,3573175.16832514,0.791630006657898
748,1240.72,3573175.16832514,0.826667939859967
749,1068.3,3712647.13922469,0.807561319992362
750,1113,3807236.87525589,0.839790909331461
751,961.81,3925474.04529489,0.842977230697727
752,1039.77,4073274.03319987,1.12747811003386
753,1079.99,4371318.47465352,0.880808121081756
754,1193.73,4023599.95962426,0.920038821930214
755,1209.99,4147785.14356328,1.05821414119998
756,1170.36,3909321.04724491,1.00531982785763
757,1201.2,3702204.70037101,1.23841221837743
758,1233.24,3961100.13396339,1.3770530796455
759,1288.02,3814281.63369607,1.73936382784053
760,1354.8,3892124.1160164,1.72331363880453
761,1537.23,3347226.73977411,2.67768085313101
762,1651.1,4021861.58655028,2.80498607212828
763,1692.88,4398136.0431084,3.36738518766872
764,1708.99,4314627.13089748,3.99273974773409
765,2008.84,4091936.69833503,4.19550007035252
766,2421.49,4828620.58576969,4.39555441845939
767,2177.38,4473139.31565167,4.27641105364383
768,2409.93,4325022.11976917,3.38166456587931
769,2699.12,5094943.56098801,3.83455716209381
770,2825.14,4757530.08012788,3.58394444762183
771,2706,4723788.73204186,3.46947544810847
772,2629.76,5129905.64429561,2.46525601463426
773,2658.69,4917633.68660062,2.78667310906896
774,2502.03,5023769.66544811,1.99878142597642
775,2541.69,5448313.58083809,2.1405726396078
776,2549.93,5389830.93070805,1.94176843709901
777,2502.86,5812562.76841065,2.12451048708968
778,2310.93,6235294.60611324,1.75592651681331
779,1972.29,6518885.7883663,1.99203092022726
780,2265.21,6478892.62402049,1.59746245264407
781,2748.36,7118783.25355338,1.61677257061397
782,2656.53,6414280.01814729,2.91314257845576
783,2862.9,6371518.15135964,4.72166692069306
784,2856.52,7568850.42141381,4.06179261167978
785,3408.75,6333394.73736857,7.13726839562085
786,3868.52,6792336.38500398,5.95656976189112
787,4375.8,8215055.49267373,6.89524420537229
788,4054.6,5277828.94780714,5.3313554939949
789,4331.77,4459277.5076504,3.48874928081846
790,4376.66,6578538.10534563,2.46952937698549
791,4908.41,7240807.04212539,1.94171384506566
792,4385.02,7430760.7659943,2.45470247093031
793,4330.87,6329907.31918033,1.66571337011368
794,3865.22,7981187.48940129,2.03912155743406
795,3678.53,6965995.45167762,2.69122572918745
796,3600.92,7624199.74632432,2.29761544477561
797,3931.98,7569349.3884371,2.66781790314962
798,4164.27,7569349.3884371,4.39594859804509
799,4308.33,7486251.28872091,3.14771873542106
800,4439.46,10167893.5413971,3.17920465527297
